Tweet_count,Usename,Name,Text,Retweets,Likes
11,Tomasz Remi,"Bitwa o Polskę 🇵🇱 Nadciąga❗ Nie Śmigus-Dyngus, nie mundial... To wybory prezydenckie 2025❗  Na horyzoncie już widać sztaby, banery, uśmiechy nr 5 i obietnice, które mają więcej kalorii niż świąteczny sernik. Polska znów dzieli się na pół  niektórzy zacierają ręce, inni... https://t.co/wD3HANkVRv",0,0
12,Szymon Szymański 🇵🇱✝️,On walczy tylko o Polski interes narodowy. 🇵🇱 On konsekwentnie broni Polskich wartości i tradycji.  🇵🇱 On stawia na pierwszym miejscu dobro Polskich rodzin.  🇵🇱 On ma jasną wizję rozwoju Polski na arenie międzynarodowej.  🇵🇱 On jest najaktywniejszym kandydatem na prezydenta.  🇵🇱 https://t.co/zC4X2kAvH6,24,337
13,Waldemar PRAWY POLAK,18.05.2025 WYBORY PREZYDENCKIE TO BEDZIE  GŁOSOWANIE ZA ODWOŁANIEM TUSKA🇩🇪🇩🇪I CAŁEJ ZŁODZIEJSKIEJ EKIPY ‼️‼️‼️‼️‼️‼️‼️‼️GLOSUJMY NA PANA KAROLA NAWROCKIEGO POLAKA ‼️‼️‼️‼️‼️‼️‼️ https://t.co/7ewc9JfRT6,11,18
14,Waldemar PRAWY POLAK,MODLE SIĘ O POLSKE I POLAKÓW ‼️‼️‼️‼️‼️‼️ABY 18.05.2025r WYBRALI PANA KAROLA NAWROCKIEGO NA NOWEGO PREZYDENTA RP! https://t.co/fD0lde3XmE,3,19
15,Tomek,"O tym były te wybory, 2023. O tym będą wybory prezydenckie 2025.",0,1
16,𝕸𝖔𝖗𝖌𝖊𝖓𝖘𝖙𝖊𝖗𝖓,"Najnowszy sondaż prezydencki 2025, 11-13 kwiecień:  34,8% - Rafał Trzaskowski 22,7% - Karol Nawrocki 15,8% - Sławomir Mentzen 6,7% - Szymon Hołownia 4,2% - Adrian Zandberg 3,4% - Magdalena Biejat 2% - Marek Jakubiak Research Partner/Infor.pl https://t.co/imhlp5Q5Hf",137,444
17,Aneczka 🇵🇱,🇵🇱Wybory Prezydenckie  Bitwa o Polskę - 18.05.2025 😎 https://t.co/vc6OVXCZuv,4,11
18,Wieści24.pl,Dlaczego Rafał Trzaskowski może i powinien wygrać wybory prezydenckie już w pierwszej turze? https://t.co/DGR1unw10g,74,202
19,Waldemar PRAWY POLAK,ZDECYDOWANIE GŁOSUJĘ NA POLAKA ‼️‼️‼️‼️‼️‼️KAROLA NAWROCKIEGO ON 18.05.2025 ROZGONI CYRK TUSKA I BODNARA 👍👍👍👍👍👍👍👍👍👍👍 https://t.co/6v6C4wdrZt,28,62
20,Konfederacja Korony Polskiej,"🔥 @GrzegorzBraun_ startuje w wyborach prezydenckich 2025! Pomóż rozpowszechnić tę informację wbrew systemowi. 18 maja wreszcie możemy zagłosować na 🇵🇱 Polskę, a nie produkt polskopodobny.   https://t.co/uFrzrsRjEY https://t.co/6ZicKEdGAV",107,305
21,Analityczny Umysł,Wybory prezydenckie:  2010: 10 kandydatów  2015: 11 kandydatów  2020: 11 kandydatów  2025: aktualnie 17 kandydatów złożyło wymagane 100 tys. podpisów,19,2591
22,Stasiek 🇵🇱💯,@BarbaraTrabins1 @UAndrearcz47894 @Leszek10606840 @AKlarenbach @mruk44 @EmanuelEmmax @ElaEla224814 @TynaLondon @AnnaKseniaELO @Anagitka @JanIIISobiesk16 @magdalena87_ @AnnaBenda3 @PrawaKlara @Bombalina30 @monter_i_jestem @halinawozniak01 @KingaA_80 @BamboPolak @MateuszCPK @PolakzPol @Darekbrzoza @NiewidomyPolak @ANNAdust107 @Woj16485152Anna @lece_samolotem @MarcelFormelaPL @upasieczna @AnnaMKrupka @p_kucinska @MieczyslawNiew5 @piotr_piet82489 Tak jest i 18 maja 2025 tylko @NawrockiKn Karol Nawrocki przyszły Prezydent Polski  #NawrockiPrezydent2025 #Nawrocki2025Prezydentem #NormalnaPolska #Nawrocki2025 https://t.co/xsxcUsbTR4,8,21
23,Elzbieta Saczek 🌸🎏🍀🥁#SilniRazem,"@kurpinski_piotr @donaldtusk @sikorskiradek @trzaskowski_ @pisorgpl Jako kraj i wyborcy stoimy przed wyborem, który w gruncie rzeczy sprowadza się do jednej, najlepszej opcji. Wizja silnej, zjednoczonej Polski z Donaldem Tuskiem jako premierem, Radosławem Sikorskim na czele MSZ i Rafałem Trzaskowskim - prezydentem w 2025 roku, to przepis na https://t.co/c3OXKM3nZS",15,31
24,🇵🇱 MARCIN EDO,"Dokładnie za tyle dni, szturmem będziemy atakować Obwodowe Komisje Wyborcze i dumnie z nieukrywaną radością głosować na naszego #Nawrocki2025  Czy uda dokonać się cudu już 18 maja, trudno powiedzieć. Jednak 1 czerwca, dokończymy swego dzieła. @NawrockiKn zostanie Prezydentem 🇵🇱 . https://t.co/Pb9IajXGmW",214,637
25,Diana Ruchniewicz #Braun2025,"18 maja 2025  głosujemy na jedynego kandydata na prezydenta  DUMNEJ, SILNEJ I BOGATEJ Polski @GrzegorzBraun_  🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱 https://t.co/3hjKNxTY8N",114,732
26,Joanna,"‼️Wybory prezydenckie 2025.  Kim jest Szymon Hołownia❓️  Sylwetka i program kandydata na prezydenta RP.  Wybory prezydenckie 2025 zbliżają się wielkimi krokami, a nazwisko Szymona Hołowni coraz częściej pojawia się w medialnych analizach i sondażach. Jego nietypowa droga do https://t.co/A0Cib40QCd",18,37
27,Grégoire 🇵🇱🇫🇷 Deuxième tour sans bonjour,Oszuści i Hipokryci  Mitomania wybory prezydenckie 2025 https://t.co/tszgcT8c1B,0,0
28,Grot119🇵🇱,Wybory prezydenckie 2025 TO NIE MOŻE SIĘ POWTÓRZYĆ https://t.co/6ORZyfypFR,0,0
29,WICKET #BRAUN2025🧯,"Pojawił się Latarnik Wyborczy na wybory prezydenckie 2025, który pozwala na wgląd w dokładne odpowiedzi poszczególnych kandydatów. Jest ich 20 i pozwoliłem sobie na ustosunkowanie się do nich 🧵⬇️  https://t.co/4IvY7j6Z2r https://t.co/XNImP1OWMX",20,134
30,Ania K.#DrużynaNawrockiego 2025 🇵🇱❤️🇵🇱,🇵🇱🇵🇱🇵🇱♥️🇵🇱🇵🇱🇵🇱 TYLKO Pan Doktor Karol Nawrocki Prezydentem Polski 🇵🇱🥰🌹,0,6
31,🇵🇱 MARCIN EDO,"Można robić screeny... Przed Państwem wyniki wyborów prezydenckich II tury z dnia 1 czerwca 2025 roku. Niekwestionowanym zwycięzcą zostanie @NawrockiKn✌️ Co wydarzy się później, to już inna kwestia. Czerwiec będzie wyjątkowo gorący. https://t.co/KnPkaWqhC4",98,313
32,Przesympatyczna Renatka,Wybory Prezydenckie  Bitwa o Polskę - 18.05.2025 😎  https://t.co/bfqFvYeykn https://t.co/arSqRAPEkx,194,1067
33,Alicja.,Zemsta wersja wybory prezydenckie 2025,0,7
34,𝕸𝖔𝖗𝖌𝖊𝖓𝖘𝖙𝖊𝖗𝖓,"Nowiutki CBOS zwiastuje ostatnie tchnienie Karola, taniec na trumnie nie pomógł Kaczyńskiemu. Badanie „Wybory prezydenckie” metodą mieszaną 17–20 marca 2025 roku na próbie 1003 dorosłych Polaków. https://t.co/cMPLcGEjZb",31,162
35,W.R.Malinowski,"Wybory prezydenckie 2025. Jarek stojąc obok „Konia”  zrozumiał, że postawił na osła.🤔😁 https://t.co/ZvLz27a7t1",0,2
36,marco1980,"...pod żadnym pozorem, nie wolno Nam się poddać w walce o lepsze życie. Prawi 🇵🇱Polacy zawsze z PiS i Suwerenną Polską! Wybory Prezydenckie 2025 Nasze! Ku Chwale Ojczyzny i do Boju! https://t.co/zWO2v7C4nX",1,1
37,Konfederacja,"25 dni do wyborów❗ Dość już skompromitowanych pseudoelit, które rządzą nami od dekad i wciąż obiecują to samo! Czas na wielkie zmiany, dlatego 18 maja głosujemy na @SlawomirMentzen! 👇  ⛔️ Nie dla paktu migracyjnego i podrzucania imigrantów z Niemiec ✅ Tak dla bezpiecznej https://t.co/acz5qYwtk7",142,1921
38,Andrzej Borowiak WJ,Moi drodzy myślę że nie zapominamy o wyborach prezydenckich 18.05. 2025. Bo widzę że większość polityków PO ma to gdzieś.  Jak możecie tak postępować.  Ja pamiętam i wierzę że Prezydentem RP będzie Rafał Trzaskowski. https://t.co/IMWgRXGiE8,2,7
39,Józef Nowacki,"Bronisław Wildstein: - ""To będą najważniejsze wybory prezydenckie od upadku komunizmu"".   W ocenie publicysty trwa proces systemowego niszczenia opozycji,czyli fundamentu demokracji. https://t.co/JT12gdGm9Q",252,532
40,Michał Sagrol,"2005 i 2025: zmarł papież ✅ wybory prezydenckie w Polsce✅ Polak bez Oscara ✅ Robert Janowski prowadzi ""Jaka to melodia""✅ Karol Strasburger prowadzi ""Familiadę""✅ Krzysztof Ibisz prowadzi ""Awanturę o kasę""✅ Tadeusz Sznuk prowadzi ""1 z 10""✅ Arseniusz Finster jest burmistrzem",279,8688
41,🇵🇱Polka🇵🇱,🔴 Zapraszamy ‼️ 👇 Wszelkie informacje poniżej 👊👍🌹🇵🇱♥️🌹 #Prezydent2025 @NawrockiKn @Nawrocki25 @Andruszkiewicz1 @szefernaker @KlubyGP @sjkaleta @TABochenski Obecność obowiązkowa ✌️ 🇵🇱 https://t.co/FztNMRTmi9,104,191
42,Łukasz Olejnik,Rafał Trzaskowski cieszy się największym zaufaniem wśród polityków - wynika z sondażu IBRiS dla Onetu💪  Cała Polska naprzód!  #Trzaskowski2025  https://t.co/cRbe3GJlGA,108,426
43,Zbój Janosik,"@ElzbietaPolak @trzaskowski_ Piękne, mądre i inteligentne kobiety głosują tylko i wyłącznie na Pana Karola Nawrockiego, cała Polska naprzód tylko Karol Nawrocki może zostać prawdziwym Prezydentem Polski i nikt inny i to już 18-go maja 2025 !!!!",0,18
44,Portal Warszawski,🟥 @PanstwKomWyb otwiera furtkę do fałszerstw wyborczych  Jak informuje profil NaPrawoMost @NaPrawo80827  23 kwietnia br. Państwowa Komisja  Wyborcza opublikowała Uchwałę nr 165/2025 z wytycznymi dla Obwodowych  Komisji Wyborczych w wyborach prezydenckich. W dokumencie znajduje https://t.co/b4wozf8ZT0,0,3
45,Krzysztof z Torunia 🇵🇱🇪🇺🇺🇦,"Prognoza prezydencka @MarcinPalade z 25.IV I tura(frekwencja 64%) 🟠@trzaskowski_ 32,5% 🔵@NawrockiKn 28,5% ⚫️@SlawomirMentzen 15,5% 🟡@szymon_holownia 6,5% 🔴@MagdaBiejat 4% ⚫️@GrzegorzBraun_ 4% 🔴@ZandbergRAZEM 3,5% 🟣@K_Stanowski 2,5% II tura RT 51,5% - 48,5% KN #progprez2025 https://t.co/xh83u5SPUp",4,14
46,Anna Trog#Maciak2025,Wybory prezydenckie w Polsce 2025. Ostra walka polityczna. Ekskluzywny w... https://t.co/6kPXk2vZ8p via @YouTube,8,21
47,Zbigniew Rybicki,Macie jeden i nie kwestionowany wybór. Prezydentem Polski 🇵🇱Maciej Maciak 🇵🇱 z Ruchu Dobrobytu i Pokoju. https://t.co/6sxscDldSj,4,12
48,Stasiek 🇵🇱💯,@tylko_prawda_ Kibice gonią łajdactwo 👍‼️wspólnie zwyciężymy 💪✌️🇵🇱 pierwszy krok już 18 maja 2025 @NawrockiKn Karol Nawrocki przyszłym Prezydentem Polski 💪✌️🇵🇱 #NawrockiPrezydent2025 #Nawrocki2025Prezydentem #NormalnaPolska #Nawrocki2025 https://t.co/PiIByuGUdX,0,5
49,No Name,Moja tierlista kandydatów na prezydenta. https://t.co/KnkVW6tJis https://t.co/X8vJQlnYjP,0,5
50,Interia,"Zbliżają się wybory prezydenckie 2025. Dla niezdecydowanych powstała inicjatywa Latarnik wyborczy, która ma na celu ułatwienie wyboru  https://t.co/CHTGzETSwz",1,2
51,Zbój Janosik,"@anna_sobolak Piękne, mądre i inteligentne kobiety głosują tylko i wyłącznie na Pana Karola Nawrockiego, cała Polska naprzód tylko Karol Nawrocki może zostać prawdziwym Prezydentem Polski i nikt inny i to już 18-go maja 2025, obudź się Polsko !!!",1,5
52,AniS 🦋 #Trzaskowski2025 #WOŚP ❤️,"18 Mają 2025 Wybory Prezydenta 🇵🇱 Postawmy kropkę nad                      ""i"" Zróbmy wszystko by nasze dzieci i wnuki były dumne z 🇵🇱 historii, to nasz obowiązek!         Cała 🇵🇱 na przód ‼️",1,1
53,Krzysztof z Torunia 🇵🇱🇪🇺🇺🇦,"Prognoza prezydencka @Glos_Swiata z 22.IV I tura 🟠@trzaskowski_ 35,1% 🔵@NawrockiKn 25,3% ⚫️@SlawomirMentzen 16,5% 🟡@szymon_holownia 7,1% 🔴@ZandbergRAZEM 4% ⚫️@GrzegorzBraun_ 3,6% 🔴@MagdaBiejat 3,5% 🟣@K_Stanowski 2% II tura Trzaskowski 53,4% - 46,6% Nawrocki #progprez2025 https://t.co/WG0GVI9oQn",13,69
54,Zbój Janosik,"@Aleksandra_P_R Piękne, mądre i inteligentne kobiety głosują tylko i wyłącznie na Pana Karola Nawrockiego, cała Polska naprzód tylko Karol Nawrocki może zostać prawdziwym Prezydentem Polski i to już 18-go maja 2025, obudź się Polsko !!!!",0,0
55,Piotrdotcom 🇵🇱🇪🇸🇫🇷🇪🇺 #SilniRazem,"‼️FAŁSZ‼️ Ludzie kochane myślcie sprawdzajcie do chuja trypla! https://t.co/K9r0MWLcw1 Czy Grzegorz Braun ma szansę na poparcie zapewniające mu wejście do drugiej tury wyborów prezydenckich? Taki scenariusz sugeruje sondaż, który miał zostać wykonany przez znany ośrodek badania https://t.co/k3q6BG8uBp",7,16
56,PLinRussia 🇵🇱,Zapraszamy do zapoznania się z informacjami na temat organizacji wyborów Prezydenta RP w 2025 roku za granicą. https://t.co/WEN6IWNXaI… https://t.co/ofZJNCqjUO,0,0
57,Michał Chmielewski (Ten_Psycholog),"A przed snem, podsumujmy pierwszą prawdziwą debatę prezydencką 2025 roku:   Karol Nawrocki - mowa ciała jest jego słabością. Niezdecydowany i niepewny choć w głosie aż tak nie było tego słychać. Mimo to atakował i był przygotowany na konfrontacje i zaznaczenie swojej obecności.",233,961
58,Zbój Janosik,"@Elbieta38132419 Piękne, mądre i inteligentne kobiety głosują tylko i wyłącznie na Pana Karola Nawrockiego, cała Polska naprzód tylko Karol Nawrocki może zostać prawdziwym Prezydentem Polski i to już 18-go maja 2025 !!!",0,0
59,OKO.press,"Wiesz, że wybory prezydenckie są ważne, chcesz oddać głos, ale nadal nie masz pewności, z którym z kandydatów najbardziej Ci po drodze?  🔍 Rozwiąż kompas wyborczy https://t.co/q7A5ZiqKqh i zdecyduj, na kogo postawić 18 maja 👉 https://t.co/nETkqcTn1s https://t.co/3IKva1jfpz",0,3
60,Ewe🇪🇺Unijka #SilniRazem #StrajkKobiet #WolneSądy,"Nie znoszę #Hołownia2025. Wkurwia mnie #Biejat2025. Prezydentem tylko #Trzaskowski2025. Jeśli nieszczęśliwie Hołownia lub Biejat wejdą do II tury, a nie Rafał.. Będę wściekła. na 100% bez wahania oddam głos na jedno z nich. Oczywista obywatelska decyzja.",4,25
61,BackAntypoint,Wybory Prezydenckie 2025 odpowiedzą na pytanie czy w Polsce jest więcej Polaków ( głos na Nawrockiego) czy Polactwa (głos na Trzaskowskiego). Jeżeli jest więcej Polactwa to będzie koniec Polski. KONIEC ! THE END !,0,0
62,Ellan Enish,Wybory Prezydenckie 2025 być jak: https://t.co/XAHx5ot0uh,0,0
63,Gabriel,Wybory prezydenckie 2025 dają mocne Eurowizja vibes. Powiedzcie mi że też to widzicie XDDDD,0,1
64,Hołownia 2025,"""Wybory prezydenckie to jest ubiegania się u ludzi o pracę. Dlatego wczoraj na debatę przyniosłem swoje CV (...) Zapomniałem w nim podać mojego numeru telefonu, więc chciałem wam tylko powiedzieć, że ten telefon jest, a numer tego telefonu to 886 132 226. Na ten numer wszyscy,",27,110
65,faustina.🩸,"drunk, eating vege gołąbki, watching adrian zandberg: „ „wybory prezydenckie 2025: gospodarka, USA i Mentzen oraz Nawrocki”",0,0
66,🍀 PSL,💬 Wybory prezydenckie 2025 to moment możliwej głębokiej przebudowy polskiej sceny politycznej. Co 20 lat przychodzi czas na nowe rozdanie.  🍀@SawickiMarek 🖥️@rzeczpospolita https://t.co/u1Ge8VED0e,5,10
67,PatryQ #TonyStark2025,"podsumowując wybory prezydenckie 2025: - Sławomir Mentzen: poproszę o inne pytanie, poproszę o mądrzejsze pytanie, kobieta nie jest taka mondra jak menszczyzna, z czym mi tu pani wylatuje - Karol Nawrocki: opowiem ci, rzeczy o które nie zostałem zapytany, daj dokończyć  Kurtyna..",0,0
68,Laura Vickers™,"Wkrótce w Polsce wybory prezydenckie 2025. Jak włamać się do serwera PKW (Przykładowej Komisji Wyborczej)?, jak fałszować wyniki podczas zbierania i przesyłania?, jak ustawić cały system?, jak manipulować ludźmi? - to wszystko jest takie proste. Czy potrafimy się zabezpieczyć?🫢 https://t.co/IgHjgrjmKP",0,0
69,Joanna,"‼️Wybory prezydenckie 2025.  Kim jest Szymon Hołownia❓️  Sylwetka i program kandydata na prezydenta RP.  Wybory prezydenckie 2025 zbliżają się wielkimi krokami, a nazwisko Szymona Hołowni coraz częściej pojawia się w medialnych analizach i sondażach. Jego nietypowa droga do https://t.co/j9bWWXA5xc",17,47
70,Globalne Południe🌐,"🇪🇨🗳 🗞EcuaVisa: Daniel Noboa z wynikiem 56% wygrał 13 kwietnia wybory prezydenckie 2025, i będzie rządził Ekwadorem w latach 2025–2029 https://t.co/XABbCoxEyK",0,5
71,Jorge,top 3 powodów kłótni fanbazy Arsenalu w 2025: 1. AC Shadows 2. Wybory prezydenckie 2025 3. Mikel Arteta,0,26
72,lootar,BARTOSZ KGHM WIEKSZOSCIA BEZWZGLEDNA WYGRYWA WYBORY PREZYDENCKIE 2025 I ZOSTAJE MU POWIERZONA MISJA STWORZENIA NOWEGO RZADU  co tu duzo mowic gratulacje 👊@BartoszKGHM https://t.co/HoJE6UiW7d,0,3
73,Wojtek Gancarz,Nieprawdpodobne Kongo dzieje się w tych Końskich. Jeszcze Stanowski jako kandydat. Polska 2025. Freakowe wybory prezydenckie.,1,32
74,dr Piotr Napierała,Wybory prezydenckie 2025 - rozmowa z Tomaszem Wiejskim https://t.co/kSwnk9r1x9,7,29
75,jarosla_w,"🔥 Wybory Prezydenckie 2025 – jak epicki film! Każdy kandydat jak postać z innej bajki – błazen, kupiec, najemnik, eunuch… Ale to nie serial – to walka o duszę i przyszłość Polski 🇵🇱!  🎯 Głosujmy nie na aktorów, tylko na tych, którzy bronią Krzyża, rodziny, suwerenności i https://t.co/WtLek4C1QA",0,0
76,Cezary Graf,🇷🇴Już 4 maja 2025 roku odbędą się wybory prezydenckie w Rumunii  Jest mały niuans  Nie można głosować na kandydata z największym demokratycznym poparciem,29,197
77,dr Piotr Napierała,Piątek 19:00 Wybory prezydenckie 2025 - rozmowa z Tomaszem Wiejskim @okiemtomkaw,3,18
78,Beata 🇵🇱🇪🇺♿ #Trzaskowski2025,"Moi drodzy, zapewne wszyscy jesteśmy już lekko zmęczeni tym maratonem wyborczym. Dlatego zróbmy sobie prezent i wybory prezydenckie 2025 rozstrzygnijmy w I turze 💪 Rafał @trzaskowski_  to prezydent,na którego Polska zasługuje. #TrzaskamyPierwsząTurę  #Trzaskowski2025 https://t.co/wEGGo4wG8Y",0,0
79,Iwona Beltran,"Będziesz za granicą, masz rodzinę za granicą, to nie zapomnij o rejestracji na wybory prezydenckie 2025.  Nie zwlekaj. Zrób to, przekaż swoim.  Moi znajomi ze Szwecji zarejestrowali się dzisiaj. Bo ważne #Trzaskowski2025 🇵🇱  Link poniżej. https://t.co/fx8FtJP1hj",8,18
80,Zbój Janosik,"@BeardedMarcinos Rozsądny Polak z krwi i kości głosuje tylko i wyłącznie na Pana Karola Nawrockiego, cała Polska naprzód tylko Karol Nawrocki może zostać prawdziwym Prezydentem Polski i nikt inny i to już 18-go maja 2025. Obudź się Polsko !!",2,9
81,#buzak|NEWS,"Refleksja, wybory prezydenckie 2025. https://t.co/9DAfSuZmKW",0,1
82,PLinPanama,"Uprzejmie informujemy, że w Panamie oraz Dominikanie wybory prezydenckie odbędą się dnia 17 maja 2025 r.  Zapraszamy do zapisów: https://t.co/m4PxYNqLmF https://t.co/8bql1I0Wnd",2,1
83,🇵🇱Polka🇵🇱,🔴 Ważne informacje 🔴 ⬇️  Czy @PanstwKomWyb dąży do sfałszowania #WyboryPrezydenckie2025? 🤔 👇 ‼️ ⬇️ ‼️🔊 Przeczytajcie i #RT,42,47
84,Zbój Janosik,"@KedraAnna Rozsądni, mądrzy Polscy patrioci głosują tylko i wyłącznie na Pana Karola Nawrockiego, cała Polska naprzód tylko Karol Nawrocki może zostać prawdziwym Prezydentem Polski i nikt inny i to już 18-go maja 2025, obudź się Polsko !!!",0,2
85,Andrzej Szeniawski,"Olać nielojalnych koalicjantów? Ale jak to? Mamy olać Rafała i PO za to, że bez porozumienia z koalicjantami zrobili sobie z publiczną TV  spot wyborczy? A z drugiej strony, jest jakaś koalicja na wybory prezydenckie 2025? A jakie są wspólne i podpisane punkty?",4,5
86,Zbój Janosik,"@MariaGolonka2 Piękne, mądre, rozsądne i inteligentne kobiety głosują tylko i wyłącznie na Pana Karola Nawrockiego, obudź się Polsko, cała Polska naprzód tylko Karol Nawrocki może zostać prawdziwym Prezydentem Polski i nikt inny i to już 18-go maja 2025 !!!!",0,2
87,Ogólnopolska Federacja Onkologiczna,Wybory'2025 - zadaliśmy pytania wszystkim kandydatkom i kandydatom na Prezydenta RP dotyczące ich potencjalnej aktywności w obszarze zdrowia w szczególności onkologii. Odpowiedzi będziemy publikować na naszej stronie.  https://t.co/PnzO0IZ8bY,0,3
88,Mariusz,Ale to jest dobre! 1 z 10 - edycja wybory prezydenckie 2025 XD https://t.co/Pk1SrTRJVs,0,1
89,tvn24,Trzaskowski cieszy się największym zaufaniem wśród polityków - wynika z sondażu IBRiS dla Onetu. Największą nieufność budzi Braun. https://t.co/iMpLGFj8eC,94,425
90,Embassy of Poland U.S.,"📢 Zapisz się na wybory prezydenckie 2025! Skorzystaj z systemu e-Wybory. Rejestracja trwa do 13.05.2025 r.   Więcej informacji, w tym lista Obwodowych Komisji Wyborczych utworzonych w 🇺🇸: https://t.co/OmJIMIAoyX  System eWybory: https://t.co/EX5CZjMcan https://t.co/I4kFBYZCvn",17,28
91,Andrzej St #Polska w❤️ 🇪🇺,"🔴 UWAGA 🔴  Bambik @MorawieckiM , spokój, radość i nadzieję przyniosie 18 maja wybór Rafała Trzaskowskiego na urząd Prezydenta Polski. #TrzaskamyPierwsząTurę #Trzaskowski2025 ✌️💪🇵🇱 https://t.co/qutB7USlrv https://t.co/lPRr6zLzi4",6,15
92,Maciej Zadumiński,"🐦  Lewica szykuje „walkę z mową nienawiści”? Czytaj: knebel dla tych, którzy myślą inaczej. Wybory prezydenckie 2025 zdecydują, czy system się domknie. Prezydent Trzaskowski = 0 oporu wobec lewicowego bezprawia. 👉 Głosujmy na Sławomira Mentzena. To ostatni mur przed cenzurą. https://t.co/WLk7R2bDHL",0,1
93,Fakty RMF FM,"Stanowcze ""nie"" Rafała Trzaskowskiego dla propozycji Szymona Hołowni. Prezydent Warszawy nie chce debatować z marszałkiem Sejmu jeden na jeden w Gdańsku. https://t.co/oPOAvced02",46,268
94,Zbój Janosik,"@KuczynskiM Widać że czujesz strach to dobrze, cała Polska naprzód tylko Karol Nawrocki może zostać prawdziwym Prezydentem Polski i nikt inny i to już 18-go maja 2025 !!!!",2,8
95,Michał Mrowczyk,"Latarnik wyborczy na wybory prezydenckie 2025. https://t.co/kxVZMzJXI9 Większość z pytań jak zwykle z cyklu ""to zależy"", ale ogólny wynik  w jakimś stopniu odzwierciedla poglądy. https://t.co/0yGuT7z6Fu",0,0
96,Wojciech,Wybory prezydenckie 2025 Część 2 Czy zgadzasz się to by o wiele więcej osób wylądowało w aresztach wydobywczych i w więzieniach ?  Czy zgadzasz się na aborcję na życzenie lub nawet do 24 tygodnia życia ?  Czy zgadzasz się na łamanie prawa i łamanie Konstytucji ?,0,0
